"Addon","OldVersion","NewVersion","Status"
"generic.EmberCore.BulkRename","1.11.0.0","1.11.1.0","Updated"
"generic.EmberCore.ContextMenu","1.10.0.0","1.10.1.0","Updated"
"generic.EmberCore.FilterEditor","1.10.0.0","1.10.1.0","Updated"
"generic.EmberCore.Mapping","1.11.0.0","1.11.1.0","Updated"
"generic.EmberCore.MediaFileManager","1.10.0.0","1.10.1.0","Updated"
"generic.Embercore.MetadataEditor","1.10.0.0","1.10.1.0","Updated"
"generic.EmberCore.MovieExport","1.11.0.0","1.11.1.0","Updated"
"generic.EmberCore.TagManager","1.11.0.0","1.11.1.0","Updated"
"generic.EmberCore.VideoSourceMapping","1.10.0.0","1.10.1.0","Updated"
"generic.Interface.Kodi","1.11.0.0","1.11.1.0","Updated"
"generic.Interface.Trakttv","1.11.0.0","1.11.1.0","Updated"
"scraper.Apple.Trailer","1.10.0.0","1.10.1.0","Updated"
"scraper.Data.OMDb","1.10.1.0","1.10.2.0","Updated"
"scraper.Data.TVDB","1.10.1.0","1.10.2.0","Updated"
"scraper.Davestrailerpage.Trailer","1.10.0.0","1.10.1.0","Updated"
"scraper.FanartTV.Poster","1.11.0.0","1.11.1.0","Updated"
"scraper.Image.TVDB","1.11.0.0","1.11.1.0","Updated"
"scraper.IMDB.Data","1.11.1.6","1.11.2.0","Updated"
"scraper.MoviepilotDE.Data","1.10.0.0","1.10.1.0","Updated"
"scraper.OFDB.Data","1.10.0.0","1.10.1.0","Updated"
"scraper.TelevisionTunes.Theme","1.10.0.0","1.10.1.0","Updated"
"scraper.Theme.YouTube","1.10.0.0","1.10.1.0","Updated"
"scraper.TMDB.Data","1.11.1.0","1.11.2.0","Updated"
"scraper.TMDB.Poster","1.11.0.0","1.11.1.0","Updated"
"scraper.TMDB.Trailer","1.10.0.0","1.10.1.0","Updated"
"scraper.Trailer.VideobusterDE","1.10.0.0","1.10.1.0","Updated"
"scraper.Trailer.YouTube","1.10.0.0","1.10.1.0","Updated"
"scraper.Trakttv.Data","1.10.1.0","1.10.2.0","Updated"
